dataset_name,adaptation_method,run_name,model_name,image_size,batch_size,probe_batch_size,data_fraction,dataset_seed,normalize_features,train_trial_id,trial_id,epoch,epochs,lr,weight_decay,threshold,selection_metric,class_name,true_positive_rate,predicted_positive_rate,accuracy,f1,auc
chestmnist,linear_probe,dinov2_large_224,facebook/dinov2-large,224,16,512,1.0,0,True,train_trial_015,train_trial_015_epoch_100,100,100,0.003,0.001,0.07,f1_macro,atelectasis,0.09974151104688644,0.556199312210083,0.5087797486406989,0.25112107623318386,0.7243638680221911
chestmnist,linear_probe,dinov2_large_224,facebook/dinov2-large,224,16,512,1.0,0,True,train_trial_015,train_trial_015_epoch_100,100,100,0.003,0.001,0.07,f1_macro,cardiomegaly,0.021392280235886574,0.051430609077215195,0.9385863267670915,0.15667074663402691,0.7755696481161005
chestmnist,linear_probe,dinov2_large_224,facebook/dinov2-large,224,16,512,1.0,0,True,train_trial_015,train_trial_015_epoch_100,100,100,0.003,0.001,0.07,f1_macro,effusion,0.11516177654266357,0.4767804741859436,0.6030840538372404,0.3294684535461527,0.7900320170058767
chestmnist,linear_probe,dinov2_large_224,facebook/dinov2-large,224,16,512,1.0,0,True,train_trial_015,train_trial_015_epoch_100,100,100,0.003,0.001,0.07,f1_macro,infiltration,0.17987342178821564,0.943043053150177,0.23112576878509672,0.3152881409747579,0.6472222769770468
chestmnist,linear_probe,dinov2_large_224,facebook/dinov2-large,224,16,512,1.0,0,True,train_trial_015,train_trial_015_epoch_100,100,100,0.003,0.001,0.07,f1_macro,mass,0.05570906400680542,0.24690257012844086,0.7603173188341207,0.20795287187039765,0.717354276005286
chestmnist,linear_probe,dinov2_large_224,facebook/dinov2-large,224,16,512,1.0,0,True,train_trial_015,train_trial_015_epoch_100,100,100,0.003,0.001,0.07,f1_macro,nodule,0.05463945120573044,0.3078705668449402,0.6856226045102058,0.1327760019670519,0.6076727476429206
chestmnist,linear_probe,dinov2_large_224,facebook/dinov2-large,224,16,512,1.0,0,True,train_trial_015,train_trial_015_epoch_100,100,100,0.003,0.001,0.07,f1_macro,pneumonia,0.011854888871312141,0.0024957661516964436,0.9856493448613959,0.0,0.660568976111576
chestmnist,linear_probe,dinov2_large_224,facebook/dinov2-large,224,16,512,1.0,0,True,train_trial_015,train_trial_015_epoch_100,100,100,0.003,0.001,0.07,f1_macro,pneumothorax,0.04492378979921341,0.15215259790420532,0.8471343256974775,0.22433288104929897,0.7701721737069381
chestmnist,linear_probe,dinov2_large_224,facebook/dinov2-large,224,16,512,1.0,0,True,train_trial_015,train_trial_015_epoch_100,100,100,0.003,0.001,0.07,f1_macro,consolidation,0.0398431234061718,0.18094304203987122,0.8180764774044033,0.17601937828017764,0.768031668814085
chestmnist,linear_probe,dinov2_large_224,facebook/dinov2-large,224,16,512,1.0,0,True,train_trial_015,train_trial_015_epoch_100,100,100,0.003,0.001,0.07,f1_macro,edema,0.017826899886131287,0.07282289117574692,0.923611730100722,0.15732546705998032,0.8452994827116798
chestmnist,linear_probe,dinov2_large_224,facebook/dinov2-large,224,16,512,1.0,0,True,train_trial_015,train_trial_015_epoch_100,100,100,0.003,0.001,0.07,f1_macro,emphysema,0.018539976328611374,0.053748104721307755,0.935734022640164,0.11097410604192355,0.7260623991393221
chestmnist,linear_probe,dinov2_large_224,facebook/dinov2-large,224,16,512,1.0,0,True,train_trial_015,train_trial_015_epoch_100,100,100,0.003,0.001,0.07,f1_macro,fibrosis,0.01479632779955864,0.008467777632176876,0.9774489704964792,0.03065134099616858,0.6869758959841901
chestmnist,linear_probe,dinov2_large_224,facebook/dinov2-large,224,16,512,1.0,0,True,train_trial_015,train_trial_015_epoch_100,100,100,0.003,0.001,0.07,f1_macro,pleural,0.03315803408622742,0.06016578897833824,0.9220073090293253,0.16427889207258833,0.7058480071294673
chestmnist,linear_probe,dinov2_large_224,facebook/dinov2-large,224,16,512,1.0,0,True,train_trial_015,train_trial_015_epoch_100,100,100,0.003,0.001,0.07,f1_macro,hernia,0.0036545146722346544,0.00017826900875661522,0.9961672163294412,0.0,0.7995474560220643
